city,day_time,weather,temperature
Accra,Sat 3:19 am,Partly cloudy. Warm.,77
Edmonton *,Fri 9:19 pm,Passing clouds. Cool.,57
Nassau *,Fri 11:19 pm,Partly cloudy. Warm.,84
Addis Ababa,Sat 6:19 am,Passing clouds. Cool.,59
Frankfurt *,Sat 5:19 am,Clear. Cool.,57
New Delhi,Sat 8:49 am,Fog. Warm.,83
Adelaide,Sat 12:49 pm,Cool.,66
Guatemala City,Fri 9:19 pm,Clear. Mild.,70
New Orleans *,Fri 10:19 pm,Clear. Warm.,83
Algiers,Sat 4:19 am,Passing clouds. Warm.,81
Halifax *,Sat 12:19 am,Mostly cloudy. Mild.,68
New York *,Fri 11:19 pm,Clear. Mild.,73
Almaty,Sat 8:19 am,Passing clouds. Pleasantly warm.,82
Hanoi,Sat 10:19 am,Passing clouds. Hot.,90
Oslo *,Sat 5:19 am,Light rain. Partly cloudy. Cool.,55
Amman,Sat 6:19 am,Haze. Pleasantly warm.,77
Harare,Sat 5:19 am,Clear. Cool.,50
Ottawa *,Fri 11:19 pm,Clear. Cool.,54
Amsterdam *,Sat 5:19 am,Sprinkles. Partly cloudy. Mild.,63
Havana *,Fri 11:19 pm,Passing clouds. Warm.,79
Paris *,Sat 5:19 am,Clear. Cool.,61
Anadyr,Sat 3:19 pm,Overcast. Cool.,59
Helsinki *,Sat 6:19 am,Clear. Cool.,59
Perth,Sat 11:19 am,Partly sunny. Mild.,63
Anchorage *,Fri 7:19 pm,Mostly cloudy. Refreshingly cool.,61
Hong Kong,Sat 11:19 am,Passing clouds. Hot.,90
Philadelphia *,Fri 11:19 pm,Passing clouds. Warm.,77
Ankara,Sat 6:19 am,Partly cloudy. Cool.,59
Honolulu,Fri 5:19 pm,Passing clouds. Warm.,85
Phoenix,Fri 8:19 pm,Passing clouds. Extremely hot.,107
Antananarivo,Sat 6:19 am,Partly sunny. Cool.,52
Houston *,Fri 10:19 pm,Passing clouds. Warm.,80
Prague *,Sat 5:19 am,Clear. Cool.,61
Asuncion,Sat 12:19 am,Clear. Mild.,73
Indianapolis *,Fri 11:19 pm,Passing clouds. Warm.,78
Reykjavik,Sat 3:19 am,Passing clouds. Cool.,46
Athens *,Sat 6:19 am,Warm.,80
Islamabad,Sat 8:19 am,Passing clouds. Warm.,82
Rio de Janeiro,Sat 12:19 am,Clear. Mild.,75
Atlanta *,Fri 11:19 pm,Partly cloudy. Warm.,78
Istanbul,Sat 6:19 am,Passing clouds. Mild.,68
Riyadh,Sat 6:19 am,Passing clouds. Pleasantly warm.,86
Auckland,Sat 3:19 pm,Rain. Cloudy. Cool.,59
