city,day_time,weather,temperature
Accra,Sat 3:19 am,Partly cloudy. Warm.,77 °F
Edmonton *,Fri 9:19 pm,Passing clouds. Cool.,57 °F
Nassau *,Fri 11:19 pm,Partly cloudy. Warm.,84 °F
Addis Ababa,Sat 6:19 am,Passing clouds. Cool.,59 °F
Frankfurt *,Sat 5:19 am,Clear. Cool.,57 °F
New Delhi,Sat 8:49 am,Fog. Warm.,83 °F
Adelaide,Sat 12:49 pm,Cool.,66 °F
Guatemala City,Fri 9:19 pm,Clear. Mild.,70 °F
New Orleans *,Fri 10:19 pm,Clear. Warm.,83 °F
Algiers,Sat 4:19 am,Passing clouds. Warm.,81 °F
Halifax *,Sat 12:19 am,Mostly cloudy. Mild.,68 °F
New York *,Fri 11:19 pm,Clear. Mild.,73 °F
Almaty,Sat 8:19 am,Passing clouds. Pleasantly warm.,82 °F
Hanoi,Sat 10:19 am,Passing clouds. Hot.,90 °F
Oslo *,Sat 5:19 am,Light rain. Partly cloudy. Cool.,55 °F
Amman,Sat 6:19 am,Haze. Pleasantly warm.,77 °F
Harare,Sat 5:19 am,Clear. Cool.,50 °F
Ottawa *,Fri 11:19 pm,Clear. Cool.,54 °F
Amsterdam *,Sat 5:19 am,Sprinkles. Partly cloudy. Mild.,63 °F
Havana *,Fri 11:19 pm,Passing clouds. Warm.,79 °F
Paris *,Sat 5:19 am,Clear. Cool.,61 °F
Anadyr,Sat 3:19 pm,Overcast. Cool.,59 °F
Helsinki *,Sat 6:19 am,Clear. Cool.,59 °F
Perth,Sat 11:19 am,Partly sunny. Mild.,63 °F
Anchorage *,Fri 7:19 pm,Mostly cloudy. Refreshingly cool.,61 °F
Hong Kong,Sat 11:19 am,Passing clouds. Hot.,90 °F
Philadelphia *,Fri 11:19 pm,Passing clouds. Warm.,77 °F
Ankara,Sat 6:19 am,Partly cloudy. Cool.,59 °F
Honolulu,Fri 5:19 pm,Passing clouds. Warm.,85 °F
Phoenix,Fri 8:19 pm,Passing clouds. Extremely hot.,107 °F
Antananarivo,Sat 6:19 am,Partly sunny. Cool.,52 °F
Houston *,Fri 10:19 pm,Passing clouds. Warm.,80 °F
Prague *,Sat 5:19 am,Clear. Cool.,61 °F
Asuncion,Sat 12:19 am,Clear. Mild.,73 °F
Indianapolis *,Fri 11:19 pm,Passing clouds. Warm.,78 °F
Reykjavik,Sat 3:19 am,Passing clouds. Cool.,46 °F
Athens *,Sat 6:19 am,Warm.,80 °F
Islamabad,Sat 8:19 am,Passing clouds. Warm.,82 °F
Rio de Janeiro,Sat 12:19 am,Clear. Mild.,75 °F
Atlanta *,Fri 11:19 pm,Partly cloudy. Warm.,78 °F
Istanbul,Sat 6:19 am,Passing clouds. Mild.,68 °F
Riyadh,Sat 6:19 am,Passing clouds. Pleasantly warm.,86 °F
Auckland,Sat 3:19 pm,Rain. Cloudy. Cool.,59 °F
Jakarta,Sat 10:19 am,Partly sunny. Warm.,86 °F
Rome *,Sat 5:19 am,Passing clouds. Warm.,79 °F
Baghdad,Sat 6:19 am,Clear. Extremely hot.,97 °F
Jerusalem *,Sat 6:19 am,Mild.,73 °F
Salt Lake City *,Fri 9:19 pm,Partly cloudy. Mild.,72 °F
Bangkok,Sat 10:19 am,Passing clouds. Warm.,88 °F
Johannesburg,Sat 5:19 am,Clear. Cool.,49 °F
San Francisco *,Fri 8:19 pm,Passing clouds. Cool.,60 °F
Barcelona *,Sat 5:19 am,Clear. Mild.,70 °F
Karachi,Sat 8:19 am,Partly sunny. Warm.,81 °F
San Juan,Fri 11:19 pm,Passing clouds. Warm.,82 °F
Beijing,Sat 11:19 am,Passing clouds. Mild.,75 °F
Kathmandu,Sat 9:04 am,Broken clouds. Mild.,75 °F
San Salvador,Fri 9:19 pm,Passing clouds. Warm.,82 °F
Belgrade *,Sat 5:19 am,Clear. Mild.,73 °F
Kingston,Fri 10:19 pm,Warm.,86 °F
Santiago,Fri 11:19 pm,Clear. Cool.,50 °F
Bengaluru,Sat 8:49 am,Scattered clouds. Mild.,73 °F
Kinshasa,Sat 4:19 am,Passing clouds. Mild.,72 °F
Santo Domingo,Fri 11:19 pm,Passing clouds. Warm.,82 °F
Berlin *,Sat 5:19 am,Scattered showers. Passing clouds. Mild.,64 °F
Kiritimati,Sat 5:19 pm,Broken clouds. Hot.,90 °F
São Paulo,Sat 12:19 am,Clear. Warm.,77 °F
Bogota,Fri 10:19 pm,Light rain. Mostly cloudy. Cool.,54 °F
Kolkata,Sat 8:49 am,Broken clouds. Warm.,88 °F
Seattle *,Fri 8:19 pm,Broken clouds. Mild.,66 °F
Boston *,Fri 11:19 pm,Passing clouds. Mild.,76 °F
Kuala Lumpur,Sat 11:19 am,Passing clouds. Hot.,91 °F
Seoul,Sat 12:19 pm,Broken clouds. Warm.,84 °F
Brasilia,Sat 12:19 am,Clear. Warm.,79 °F
Kuwait City,Sat 6:19 am,Clear. Pleasantly warm.,87 °F
Shanghai,Sat 11:19 am,Scattered clouds. Warm.,88 °F
Brisbane,Sat 1:19 pm,Mild.,74 °F
Kyiv *,Sat 6:19 am,Clear. Cool.,56 °F
Singapore,Sat 11:19 am,Broken clouds. Warm.,88 °F
Brussels *,Sat 5:19 am,Passing clouds. Cool.,59 °F
La Paz,Fri 11:19 pm,Passing clouds. Quite cool.,42 °F
Sofia *,Sat 6:19 am,Clear. Mild.,64 °F
Bucharest *,Sat 6:19 am,Passing clouds. Cool.,57 °F
Lagos,Sat 4:19 am,Passing clouds. Warm.,79 °F
St. John's *,Sat 12:49 am,Passing clouds. Mild.,63 °F
Budapest *,Sat 5:19 am,Clear. Mild.,68 °F
Lahore,Sat 8:19 am,Scattered clouds. Hot.,90 °F
Stockholm *,Sat 5:19 am,Partly cloudy. Mild.,64 °F
Buenos Aires,Sat 12:19 am,Passing clouds. Cool.,55 °F
Las Vegas *,Fri 8:19 pm,Partly sunny. Extremely hot.,105 °F
Suva,Sat 3:19 pm,Scattered clouds. Warm.,82 °F
Cairo *,Sat 6:19 am,Passing clouds. Warm.,79 °F
Lima,Fri 10:19 pm,Clear. Mild.,72 °F
Sydney,Sat 1:19 pm,Scattered clouds. Mild.,64 °F
Calgary *,Fri 9:19 pm,Partly cloudy. Mild.,64 °F
Lisbon *,Sat 4:19 am,Clear. Mild.,64 °F
Taipei,Sat 11:19 am,Scattered clouds. Extremely hot.,95 °F
Canberra,Sat 1:19 pm,Sunny. Mild.,63 °F
London *,Sat 4:19 am,Partly cloudy. Mild.,64 °F
